Word	CEFR	Part of Speech
prospect	“B1”	Noun
proceed	“B1”	Verb
favour	“B1”	Noun
guess	“B1”	Verb
fashion	“B1”	Noun
variation	“B1”	Noun
medicine	“B1”	Noun
deserve	“B1”	Verb
crisis	“B1”	Noun
illness	“B1”	Noun
Indian	“B1”	Noun
whereas	“B1”	Conjunction
vote	“B1”	Verb
reply	“B1”	Noun
roof	“B1”	Noun
cope	“B1”	Verb
museum	“B1”	Noun
army	“B1”	Noun
hardly	“B1”	Adverb
sum	“B1”	Noun
labour	“B1”	Noun
calculate	“B1”	Verb
victory	“B1”	Noun
cancer	“B1”	Noun
citizen	“B1”	Noun
general	“B1”	Noun
mix	“B1”	Verb
thinking	“B1”	Noun
predict	“B1”	Verb
question	“B1”	Verb
painting	“B1”	Noun
reply	“B1”	Verb
relief	“B1”	Noun
designer	“B1”	Noun
constantly	“B1”	Adverb
escape	“B1”	Verb
replacement	“B1”	Noun
nevertheless	“B1”	Adverb
revise	“B1”	Verb
weapon	“B1”	Noun
district	“B1”	Noun
tough	“B1”	Adjective
studio	“B1”	Noun
alter	“B1”	Verb
slowly	“B1”	Adverb
taste	“B1”	Noun
border	“B1”	Noun
vote	“B1”	Noun
packed	“B1”	Adjective
passenger	“B1”	Noun
advertising	“B1”	Noun
struggle	“B1”	Verb
hopefully	“B1”	Adverb
mount	“B1”	Verb
yet	“B1”	Conjunction
opposition	“B1”	Noun
supporter	“B1”	Noun
farmer	“B1”	Noun
producer	“B1”	Noun
retire	“B1”	Verb
enemy	“B1”	Noun
locally	“B1”	Adverb
defend	“B1”	Verb
metre	“B1”	Noun
statistics	“B1”	Noun
roll	“B1”	Verb
upper	“B1”	Adjective
yard	“B1”	Noun
violence	“B1”	Noun
nurse	“B1”	Noun
overcome	“B1”	Verb
savings	“B1”	Noun
rating	“B1”	Noun
impression	“B1”	Noun
hearing	“B1”	Noun
German	“B1”	Noun
warning	“B1”	Noun
column	“B1”	Noun
reserve	“B1”	Verb
witness	“B1”	Noun
progress	“B1”	Verb
abroad	“B1”	Adverb
perfectly	“B1”	Adverb
directory	“B1”	Noun
label	“B1”	Noun
disappear	“B1”	Verb
exercise	“B1”	Verb
passage	“B1”	Noun
Israeli	“B1”	Adjective
festival	“B1”	Noun
debt	“B1”	Noun
newsletter	“B1”	Noun
meanwhile	“B1”	Adverb
acceptable	“B1”	Adjective
sort	“B1”	Verb
monthly	“B1”	Adjective
convince	“B1”	Verb
Olympic	“B1”	Adjective
lift	“B1”	Verb
close	“B1”	Adverb
Holland	“B1”	Noun
therapy	“B1”	Noun
naturally	“B1”	Adverb
narrow	“B1”	Adjective
quantity	“B1”	Noun
restriction	“B1”	Noun
crew	“B1”	Noun
cool	“B1”	Adjective
score	“B1”	Verb
sensitive	“B1”	Adjective
processing	“B1”	Noun
pace	“B1”	Noun
reliable	“B1”	Adjective
dress	“B1”	Verb
occasionally	“B1”	Adverb
Scot	“B1”	Noun
click	“B1”	Verb
mail	“B1”	Noun
reception	“B1”	Noun
Sweden	“B1”	Noun
repair	“B1”	Noun
weak	“B1”	Adjective
northern	“B1”	Adjective
shape	“B1”	Verb
stand	“B1”	Noun
trust	“B1”	Verb
signal	“B1”	Noun
Netherlands	“B1”	Noun
poverty	“B1”	Noun
translate	“B1”	Verb
temporary	“B1”	Adjective
wheel	“B1”	Noun
fine	“B1”	Noun
male	“B1”	Adjective
justify	“B1”	Verb
camp	“B1”	Noun
philosophy	“B1”	Noun
circle	“B1”	Noun
judge	“B1”	Noun
touch	“B1”	Verb
virtually	“B1”	Adverb
Hong Kong	“B1”	Noun
proceedings	“B1”	Noun
Brazil	“B1”	Noun
fight	“B1”	Noun
conventional	“B1”	Adjective
Mexico	“B1”	Noun
drop	“B1”	Noun
marriage	“B1”	Noun
draft	“B1”	Noun
insist	“B1”	Verb
personally	“B1”	Adverb
recall	“B1”	Verb
row	“B1”	Noun
leisure	“B1”	Noun
interpret	“B1”	Verb
separate	“B1”	Verb
in	“B1”	Adverb
string	“B1”	Noun
till	“B1”	Preposition
jump	“B1”	Verb
booking	“B1”	Noun
comfort	“B1”	Noun
rarely	“B1”	Adverb
struggle	“B1”	Noun
quote	“B1”	Noun
left	“B1”	Adjective
track	“B1”	Verb
herself	“B1”	Pronoun
actor	“B1”	Noun
ride	“B1”	Verb
Dutch	“B1”	Adjective
airport	“B1”	Noun
being	“B1”	Noun
partly	“B1”	Adverb
damage	“B1”	Verb
afterwards	“B1”	Adverb
heavily	“B1”	Adverb
sky	“B1”	Noun
chairman	“B1”	Noun
curriculum	“B1”	Noun
emotional	“B1”	Adjective
billion	“B1”	Number
countryside	“B1”	Noun
withdraw	“B1”	Verb
genuine	“B1”	Adjective
perception	“B1”	Noun
minority	“B1”	Noun
leaflet	“B1”	Noun
allocate	“B1”	Verb
layer	“B1”	Noun
pure	“B1”	Adjective
query	“B1”	Noun
abandon	“B1”	Verb
dramatic	“B1”	Adjective
pension	“B1”	Noun
proof	“B1”	Noun
aside	“B1”	Adverb
tiny	“B1”	Adjective
enormous	“B1”	Adjective
complain	“B1”	Verb
script	“B1”	Noun
empty	“B1”	Adjective
odd	“B1”	Adjective
negotiate	“B1”	Verb
factory	“B1”	Noun
ride	“B1”	Noun
zone	“B1”	Noun
assure	“B1”	Verb
reserve	“B1”	Noun
trace	“B1”	Verb
rail	“B1”	Noun
symptom	“B1”	Noun
plot	“B1”	Noun
gate	“B1”	Noun
exclusive	“B1”	Adjective
remarkable	“B1”	Adjective
sharp	“B1”	Adjective
welfare	“B1”	Noun
retail	“B1”	Adjective
valid	“B1”	Adjective
schedule	“B1”	Noun
sentence	“B1”	Noun
architecture	“B1”	Noun
matter	“B1”	Verb
moral	“B1”	Adjective
profession	“B1”	Noun
recruit	“B1”	Verb
criticism	“B1”	Noun
soil	“B1”	Noun
continuous	“B1”	Adjective
Afghanistan	“B2”	Noun
everyday	“B1”	Adjective
soldier	“B1”	Noun
Caribbean	“B1”	Noun
0	“B1”	Adjective
phrase	“B1”	Noun
surgery	“B1”	Noun
steal	“B1”	Verb
reflection	“B1”	Noun
laboratory	“B1”	Noun
criminal	“B1”	Adjective
dependent	“B1”	Adjective
inspection	“B1”	Noun
king	“B1”	Noun
prison	“B1”	Noun
folk	“B1”	Noun
grade	“B1”	Noun
imply	“B1”	Verb
forest	“B1”	Noun
unknown	“B1”	Adjective
shift	“B1”	Noun
block	“B1”	Verb
measurement	“B1”	Noun
executive	“B1”	Noun
rest	“B1”	Verb
adventure	“B1”	Noun
enough	“B1”	Pronoun
paint	“B1”	Verb
concert	“B1”	Noun
wing	“B1”	Noun
copy	“B1”	Verb
tale	“B1”	Noun
spiritual	“B1”	Adjective
steel	“B1”	Noun
absolute	“B1”	Adjective
tape	“B1”	Noun
Pacific	“B1”	Noun
fascinating	“B1”	Adjective
neighbour	“B1”	Noun
motion	“B1”	Noun
mixture	“B1”	Noun
fellow	“B1”	Adjective
promise	“B1”	Noun
celebration	“B1”	Noun
informal	“B1”	Adjective
worth	“B1”	Noun
classroom	“B1”	Noun
percentage	“B1”	Noun
compile	“B1”	Verb
Pakistan	“B1”	Noun
maker	“B1”	Noun
educate	“B1”	Verb
hit	“B1”	Noun
settlement	“B1”	Noun
gradually	“B1”	Adverb
motor	“B1”	Noun
extreme	“B1”	Adjective
research	“B1”	Verb
catalogue	“B1”	Noun
Greece	“B1”	Noun
vulnerable	“B1”	Adjective
publisher	“B1”	Noun
president	“B1”	Noun
drama	“B1”	Noun
attendance	“B1”	Noun
emphasise	“B1”	Verb
penalty	“B1”	Noun
tourist	“B1”	Noun
trading	“B1”	Noun
symbol	“B1”	Noun
model	“B1”	Verb
custom	“B1”	Noun
Allah	“B1”	Noun
bone	“B1”	Noun
indication	“B1”	Noun
enthusiasm	“B1”	Noun
gold	“B1”	Noun
wherever	“B1”	Conjunction
ultimate	“B1”	Adjective
abuse	“B1”	Noun
mixed	“B1”	Adjective
possess	“B1”	Verb
Canadian	“B1”	Adjective
inch	“B1”	Noun
Belgium	“B1”	Noun
south	“B1”	Adverb
luck	“B1”	Noun
frequency	“B1”	Noun
lock	“B1”	Verb
drawing	“B1”	Noun
persuade	“B1”	Verb
intellectual	“B1”	Adjective
stretch	“B1”	Verb
gun	“B1”	Noun
lecture	“B1”	Noun
offence	“B1”	Noun
diet	“B1”	Noun
adjust	“B1”	Verb
concentration	“B1”	Noun
discount	“B1”	Noun
era	“B1”	Noun
tone	“B1”	Noun
hire	“B1”	Verb
favourite	“B1”	Noun
offering	“B1”	Noun
possession	“B1”	Noun
southern	“B1”	Adjective
paragraph	“B1”	Noun
disaster	“B1”	Noun
thin	“B1”	Adjective
rule	“B1”	Verb
exact	“B1”	Adjective
standing	“B1”	Noun
sexual	“B1”	Adjective
owe	“B1”	Verb
western	“B1”	Adjective
angle	“B1”	Noun
advertise	“B1”	Verb
prayer	“B1”	Noun
transaction	“B1”	Noun
registered	“B1”	Adjective
journalist	“B1”	Noun
bury	“B1”	Verb
fit	“B1”	Noun
log	“B1”	Verb
kit	“B1”	Noun
spectacular	“B1”	Adjective
parish	“B1”	Noun
substance	“B1”	Noun
tie	“B1”	Verb
basically	“B1”	Adverb
inner	“B1”	Adjective
seed	“B1”	Noun
autumn	“B1”	Noun
essay	“B1”	Noun
grass	“B1”	Noun
overlook	“B1”	Verb
infection	“B1”	Noun
crop	“B1”	Noun
Poland	“B1”	Noun
electric	“B1”	Adjective
joy	“B1”	Noun
secretary	“B1”	Noun
lecture	“B1”	Verb
passion	“B1”	Noun
planet	“B1”	Noun
double	“B1”	Verb
intelligence	“B1”	Noun
plane	“B1”	Noun
regardless	“B1”	Adverb
net	“B1”	Noun
poster	“B1”	Noun
chat	“B1”	Verb
fishing	“B1”	Noun
lawyer	“B1”	Noun
pitch	“B1”	Noun
recognize	“B1”	Verb
revolution	“B1”	Noun
holder	“B1”	Noun
past	“B1”	Preposition
Russian	“B1”	Noun
league	“B1”	Noun
Norway	“B1”	Noun
Switzerland	“B1”	Noun
ad	“B1”	Noun
lifestyle	“B1”	Noun
shoulder	“B1”	Noun
alcohol	“B1”	Noun
secret	“B1”	Adjective
illegal	“B1”	Adjective
slight	“B1”	Adjective
manufacturing	“B1”	Noun
surprised	“B1”	Adjective
guitar	“B1”	Noun
Mediterranean	“B1”	Noun
deeply	“B1”	Adverb
indicator	“B1”	Noun
musician	“B1”	Noun
load	“B1”	Verb
pleasant	“B1”	Adjective
home	“B1”	Adverb
manual	“B1”	Adjective
episode	“B1”	Noun
cable	“B1”	Noun
north	“B1”	Adverb
iron	“B1”	Noun
estimate	“B1”	Noun
dozen	“B1”	Noun
suite	“B1”	Noun
split	“B1”	Verb
thoroughly	“B1”	Adverb
removal	“B1”	Noun
honour	“B1”	Noun
personality	“B1”	Noun
suit	“B1”	Noun
beer	“B1”	Noun
chart	“B1”	Noun
Jordan	“B1”	Noun
politician	“B1”	Noun
prime	“B2”	Adjective
furniture	“B1”	Noun
announcement	“B1”	Noun
habit	“B1”	Noun
patient	“B1”	Adjective
aid	“B1”	Verb
smooth	“B1”	Adjective
Turkish	“B1”	Adjective
reasonably	“B1”	Adverb
stable	“B1”	Adjective
Taiwan	“B1”	Noun
secret	“B1”	Noun
firstly	“B1”	Adverb
decent	“B1”	Adjective
peak	“B1”	Noun
badly	“B1”	Adverb
occasional	“B1”	Adjective
hardware	“B1”	Noun
convenient	“B1”	Adjective
scan	“B1”	Verb
Spanish	“B1”	Noun
fire	“B1”	Verb
tune	“B1”	Noun
tight	“B1”	Adjective
occupation	“B1”	Noun
cease	“B1”	Verb
grateful	“B1”	Adjective
spot	“B1”	Verb
tutor	“B1”	Noun
wish	“B1”	Noun
hero	“B1”	Noun
preference	“B1”	Noun
wooden	“B1”	Adjective
whenever	“B1”	Conjunction
associate	“B1”	Noun
layout	“B1”	Noun
schedule	“B1”	Verb
Palestinian	“B1”	Adjective
somehow	“B1”	Adverb
salary	“B1”	Noun
wildlife	“B1”	Noun
portion	“B1”	Noun
valley	“B1”	Noun
vessel	“B1”	Noun
receipt	“B1”	Noun
clothing	“B1”	Noun
illustration	“B1”	Noun
sound	“B1”	Adjective
automatic	“B1”	Adjective
circuit	“B1”	Noun
light	“B1”	Verb
shock	“B1”	Noun
waste	“B1”	Verb
extended	“B1”	Adjective
cancel	“B1”	Verb
advance	“B1”	Verb
house	“B1”	Verb
tower	“B1”	Noun
Euro	“B1”	Noun
assembly	“B1”	Noun
slip	“B1”	Verb
Denmark	“B1”	Noun
classical	“B1”	Adjective
audio	“B1”	Adjective
cheque	“B1”	Noun
tube	“B1”	Noun
surprising	“B1”	Adjective
aircraft	“B1”	Noun
confusion	“B1”	Noun
mouse	“B1”	Noun
contractor	“B1”	Noun
imagination	“B1”	Noun
realistic	“B1”	Adjective
satisfaction	“B1”	Noun
hell	“B1”	Noun
territory	“B1”	Noun
cinema	“B1”	Noun
boss	“B1”	Noun
win	“B1”	Noun
electricity	“B1”	Noun
strike	“B1”	Noun
resort	“B1”	Noun
tank	“B1”	Noun
muscle	“B1”	Noun
sand	“B1”	Noun
consumption	“B1”	Noun
nuclear	“B1”	Adjective
craft	“B1”	Noun
impressed	“B2”	Adjective
net	“B1”	Adjective
murder	“B1”	Noun
spending	“B1”	Noun
shake	“B1”	Verb
register	“B1”	Noun
delegate	“B1”	Noun
maximum	“B1”	Noun
tension	“B1”	Noun
poem	“B1”	Noun
blind	“B1”	Adjective
knock	“B1”	Verb
lake	“B1”	Noun
highlight	“B1”	Noun
blame	“B1”	Verb
sophisticated	“B1”	Adjective
accuse	“B1”	Verb
flag	“B1”	Noun
content	“B1”	Adjective
extraordinary	“B1”	Adjective
cater	“B2”	Verb
grand	“B1”	Adjective
ill	“B1”	Adjective
mystery	“B1”	Noun
electrical	“B1”	Adjective
doubt	“B1”	Verb
opposite	“B1”	Adjective
rough	“B1”	Adjective
weakness	“B1”	Noun
poetry	“B1”	Noun
bother	“B1”	Verb
interval	“B1”	Noun
independence	“B1”	Noun
spread	“B1”	Noun
interview	“B1”	Verb
consequently	“B1”	Adverb
comedy	“B1”	Noun
anniversary	“B1”	Noun
lighting	“B1”	Noun
questionnaire	“B1”	Noun
usage	“B1”	Noun
ought	“B1”	Modal verb
Chinese	“B1”	Noun
wages	“B1”	Noun
heaven	“B1”	Noun
safely	“B1”	Adverb
elderly	“B1”	Adjective
literally	“B1”	Adverb
land	“B1”	Verb
expenditure	“B1”	Noun
deposit	“B1”	Noun
confuse	“B1”	Verb
diary	“B1”	Noun
championship	“B1”	Noun
troop	“B1”	Noun
plain	“B1”	Adjective
pray	“B1”	Verb
mood	“B1”	Noun
secondly	“B1”	Adverb
battery	“B1”	Noun
specially	“B1”	Adverb
distinctive	“B1”	Adjective
acre	“B1”	Noun
shift	“B1”	Verb
agricultural	“B1”	Adjective
relative	“B1”	Noun
precise	“B1”	Adjective
burden	“B1”	Noun
delay	“B1”	Verb
gender	“B1”	Noun
lecturer	“B1”	Noun
considerably	“B1”	Adverb
critic	“B1”	Noun
resist	“B1”	Verb
eastern	“B1”	Adjective
engagement	“B1”	Noun
retirement	“B1”	Noun
alike	“B1”	Adverb
finish	“B1”	Noun
reward	“B1”	Noun
accordingly	“B1”	Adverb
equivalent	“B1”	Adjective
mate	“B1”	Noun
strict	“B1”	Adjective
mere	“B1”	Adjective
correct	“B1”	Verb
motivate	“B1”	Verb
councillor	“B1”	Noun
universal	“B1”	Adjective
rent	“B1”	Noun
ingredient	“B1”	Noun
borrow	“B1”	Verb
champion	“B1”	Noun
singer	“B1”	Noun
precisely	“B1”	Adverb
survival	“B1”	Noun
roll	“B1”	Noun
heating	“B1”	Noun
realize	“B1”	Verb
pour	“B1”	Verb
pot	“B1”	Noun
fifth	“B1”	Number
shame	“B1”	Noun
pop	“B1”	Noun
rush	“B1”	Verb
dig	“B1”	Verb
sudden	“B1”	Adjective
bottom	“B1”	Adjective
lend	“B1”	Verb
square	“B1”	Noun
brick	“B1”	Noun
joke	“B1”	Noun
excuse	“B1”	Noun
spare	“B1”	Adjective
coal	“B1”	Noun
disappointed	“B1”	Adjective
plastic	“B1”	Noun
bell	“B1”	Noun
shelf	“B1”	Noun
shower	“B1”	Verb
chest	“B1”	Noun
sixth	“B1”	Number
lad	“B1”	Noun
bin	“B1”	Noun
belt	“B1”	Noun
red	“B1”	Noun
garage	“B1”	Noun
blue	“B1”	Noun
stick	“B1”	Noun
advert	“B1”	Noun
cooking	“B1”	Noun
chase	“B1”	Verb
tail	“B1”	Noun
fence	“B1”	Noun
park	“B1”	Verb
pregnant	“B1”	Adjective
potato	“B1”	Noun
round	“B1”	Adjective
tennis	“B1”	Noun
pretty	“B1”	Adjective
upset	“B1”	Verb
smoke	“B1”	Verb
bend	“B1”	Verb
laugh	“B1”	Noun
pig	“B1”	Noun
scream	“B1”	Verb
pretend	“B1”	Verb
cow	“B1”	Noun
rid	“B1”	Adjective
knife	“B1”	Noun
tonight	“B1”	Noun
petrol	“B1”	Noun
lip	“B1”	Noun
motorway	“B1”	Noun
underneath	“B1”	Preposition
nut	“B1”	Noun
basket	“B1”	Noun
bowl	“B1”	Noun
stomach	“B1”	Noun
jacket	“B1”	Noun
carpet	“B1”	Noun
ok	“B1”	Adjective
phone	“B1”	Verb
weird	“B1”	Adjective
silly	“B1”	Adjective
nasty	“B1”	Adjective
juice	“B1”	Noun
mess	“B1”	Noun
excited	“B1”	Adjective
cousin	“B1”	Noun
smell	“B1”	Noun
oven	“B1”	Noun
apple	“B1”	Noun
white	“B1”	Noun
okay	“B1”	Adjective
impress	“B1”	Verb
ladder	“B1”	Noun
cigarette	“B1”	Noun
rubber	“B1”	Noun
smell	“B1”	Verb
boring	“B1”	Adjective
duck	“B1”	Noun
sandwich	“B1”	Noun
litre	“B1”	Noun
throat	“B1”	Noun
hungry	“B1”	Adjective
rugby	“B1”	Noun
hi	“B1”	Exclamation
rubbish	“B1”	Noun
cold	“B1”	Noun
bean	“B1”	Noun
stamp	“B1”	Noun
curtain	“B1”	Noun
hey	“B1”	Exclamation
packet	“B1”	Noun
useless	“B1”	Adjective
tablet	“B1”	Noun
queue	“B1”	Noun
fat	“B1”	Noun
rice	“B1”	Noun
bored	“B1”	Adjective
rabbit	“B1”	Noun
accent	“B1”	Noun
seventh	“B1”	Number
annoying	“B1”	Adjective
scared	“B1”	Adjective
lately	“B1”	Adverb
fucking	“B1”	Adjective
quid	“B1”	Noun
bloke	“B1”	Noun
shit	“B1”	Noun
fuck	“B1”	Verb
telly	“B1”	Noun
chap	“B1”	Noun
caravan	“B1”	Noun
chuck	“B1”	Verb
bastard	“B1”	Noun
pudding	“B1”	Noun
microphone	“B1”	Noun
bugger	“B1”	Noun
disgusting	“B1”	Adjective
wow	“B1”	Exclamation
jumper	“B1”	Noun
drawer	“B1”	Noun
east	“B1”	Adverb
naughty	“B1”	Adjective
minus	“B1”	Preposition
fetch	“B1”	Verb
bang	“B1”	Verb
stuck	“B1”	Adjective
Coke	“B1”	Noun
bum	“B1”	Noun
freezer	“B1”	Noun
rude	“B1”	Adjective
daft	“B1”	Adjective
fed	“B1”	Adjective
moan	“B1”	Verb
cleaner	“B1”	Noun
skirt	“B1”	Noun
cooker	“B1”	Noun
kettle	“B1”	Noun
spoon	“B1”	Noun
cheeky	“B1”	Adjective
whisky	“B1”	Noun
strawberry	“B1”	Noun
spider	“B1”	Noun
doll	“B1”	Noun
posh	“B1”	Adjective
shove	“C1”	Verb
wardrobe	“B1”	Noun
T-shirt	“B1”	Noun
flu	“B1”	Noun
tights	“B1”	Noun
fog	“B1”	Noun
wool	“B1”	Noun
disco	“B1”	Noun
mushroom	“B1”	Noun
knickers	“B1”	Noun
settee	“B1”	Noun
spill	“B1”	Verb
cough	“B1”	Verb
honey	“B1”	Noun
yoghurt	“B1”	Noun
slap	“B1”	Verb
dreadful	“B2”	Adjective
cheek	“B1”	Noun
lick	“B1”	Verb
rose	“B1”	Noun
lemon	“B1”	Noun
chew	“B1”	Verb
tidy	“B1”	Verb
idiot	“B1”	Noun
jar	“B1”	Noun
mat	“B1”	Noun
stink	“B1”	Verb
heater	“B1”	Noun
shave	“B1”	Verb
broken	“B1”	Adjective
fork	“B1”	Noun
freezing	“B1”	Adjective
steak	“B1”	Noun
sore	“B1”	Adjective
rotten	“B1”	Adjective
dentist	“B1”	Noun
radiator	“B1”	Noun
frightened	“B1”	Adjective
pork	“B1”	Noun
boyfriend	“B1”	Noun
tidy	“B1”	Adjective
sticky	“B1”	Adjective
filthy	“B1”	Adjective
hairdresser	“B1”	Noun
aunty	“B1”	Noun
mug	“B1”	Noun
gum	“B1”	Noun
embarrassing	“B1”	Adjective
frighten	“B1”	Verb
loaf	“B1”	Noun
annoyed	“B1”	Adjective
grandpa	“B1”	Noun
hooray	“B2”	Exclamation
frost	“B1”	Noun
embarrassed	“B1”	Adjective
butcher	“B1”	Noun
supper	“B1”	Noun
miserable	“B1”	Adjective
shorts	“B1”	Noun
parcel	“B1”	Noun
cough	“B1”	Noun
west	“B1”	Adverb
trainers	“B1”	Noun
eighth	“B1”	Number
ninth	“B1”	Number
tenth	“B1”	number
fulfil	“B2”	Verb
connection	“B2”	Noun
commercial	“B2”	Adjective
attempt	“B2”	Noun
owner	“B2”	Noun
selection	“B2”	Noun
physical	“B2”	Adjective
standard	“B2”	Adjective
agency	“B2”	Noun
overall	“B2”	Adjective
respond	“B2”	Verb
audience	“B2”	Noun
review	“B2”	Verb
initial	“B2”	Adjective
expert	“B2”	Noun
assess	“B2”	Verb
commitment	“B2”	Noun
fund	“B2”	Noun
request	“B2”	Noun
fund	“B2”	Verb
vary	“B2”	Verb
commit	“B2”	Verb
subject	“B2”	Adjective
complex	“B2”	Adjective
supply	“B2”	Noun
theory	“B2”	Noun
release	“B2”	Noun
surround	“B2”	Verb
access	“B2”	Verb
artist	“B2”	Noun
issue	“B2”	Verb
adopt	“B2”	Verb
benefit	“B2”	Verb
display	“B2”	Verb
generation	“B2”	Noun
entire	“B2”	Adjective
powerful	“B2”	Adjective
display	“B2”	Noun
attract	“B2”	Verb
package	“B2”	Noun
category	“B2”	Noun
conclusion	“B2”	Noun
attempt	“B2”	Verb
combination	“B2”	Noun
relatively	“B2”	Adverb
advance	“B2”	Noun
limited	“B2”	Adjective
request	“B2”	Verb
direct	“B2”	Verb
professional	“B2”	Noun
alternative	“B2”	Noun
influence	“B2”	Verb
lead	“B2”	Noun
exhibition	“B2”	Noun
welcome	“B2”	Adjective
official	“B2”	Adjective
transfer	“B2”	Noun
range	“B2”	Verb
alternative	“B2”	Adjective
prior	“B2”	Adjective
button	“B2”	Noun
update	“B2”	Noun
official	“B2”	Noun
demand	“B2”	Verb
delight	“B2”	Verb
regard	“B2”	Noun
process	“B2”	Verb
target	“B2”	Verb
capability	“C1”	Noun
constant	“B2”	Adjective
merely	“B2”	Adverb
shortly	“B2”	Adverb
reject	“B2”	Verb
household	“B2”	Noun
asset	“B2”	Noun
wealth	“B2”	Noun
coverage	“B2”	Noun
novel	“B2”	Noun
consistent	“B2”	Adjective
characteristic	“B2”	Noun
analyse	“B2”	Verb
relative	“B2”	Adjective
efficiency	“B2”	Noun
minor	“B2”	Adjective
restrict	“B2”	Verb
modify	“B2”	Verb
pm	“B2”	Abbreviation
commission	“B2”	Verb
mass	“B2”	Noun
completion	“B2”	Noun
testing	“B2”	Noun
musical	“B2”	Adjective
occupy	“B2”	Verb
turkey	“B2”	Noun
greatly	“B2”	Adverb
average	“B2”	Noun
stream	“B2”	Noun
diversity	“B2”	Noun
ultimately	“B2”	Adverb
typically	“B2”	Adverb
gallery	“B2”	Noun
interface	“B2”	Noun
apparent	“B2”	Adjective
infrastructure	“B2”	Noun
lack	“B2”	Verb
latter	“B2”	Pronoun
urban	“B2”	Adjective
barrier	“B2”	Noun
newly	“B2”	Adverb
stress	“B2”	Noun
subsequently	“B2”	Adverb
visible	“B2”	Adjective
interactive	“B2”	Adjective
specification	“B2”	Noun
applicant	“B2”	Noun
potentially	“B2”	Adverb
equip	“B2”	Verb
reform	“B2”	Noun
exceed	“B2”	Verb
port	“B2”	Noun
strengthen	“B2”	Verb
revenue	“B2”	Noun
innovation	“B2”	Noun
approval	“B2”	Noun
alternatively	“B2”	Adverb
practitioner	“B2”	Noun
formation	“B2”	Noun
inclusion	“B2”	Noun
sponsor	“B2”	Verb
file	“B2”	Verb
engineer	“B2”	Noun
adequate	“B2”	Adjective
regime	“B2”	Noun
delay	“B2”	Noun
weekly	“B2”	Adjective
domain	“B2”	Noun
intervention	“B2”	Noun
chemical	“B2”	Noun
expansion	“B2”	Noun
dimension	“B2”	Noun
urge	“B2”	Verb
rapid	“B2”	Adjective
flexibility	“B2”	Noun
similarly	“B2”	Adverb
statutory	“B2”	Adjective
enterprise	“B2”	Noun
appeal	“B2”	Verb
perceive	“B2”	Verb
destination	“B2”	Noun
encounter	“B2”	Verb
dominate	“B2”	Verb
residential	“B2”	Adjective
admission	“B2”	Noun
attraction	“B2”	Noun
centre	“B2”	Verb
undergraduate	“B2”	Noun
monitoring	“B2”	Noun
comply	“B2”	Verb
dynamic	“B2”	Adjective
obligation	“B2”	Noun
principal	“B2”	Adjective
pose	“B2”	Verb
equivalent	“B2”	Noun
demonstration	“B2”	Noun
account	“B2”	Verb
evolve	“B2”	Verb
minimum	“B2”	Noun
underlie	“B2”	Verb
commission	“B2”	Noun
browser	“B2”	Noun
recovery	“B2”	Noun
developer	“B2”	Noun
dedicated	“B2”	Adjective
govern	“B2”	Verb
constitute	“B2”	Verb
effectiveness	“B2”	Noun
flow	“B2”	Verb
stress	“B2”	Verb
integrated	“B2”	Adjective
actively	“B2”	Adverb
significance	“B2”	Noun
utilise	“B2”	Verb
overview	“B2”	Noun
fear	“B2”	Verb
recruitment	“B2”	Noun
commonly	“B2”	Adverb
suspect	“B2”	Verb
exposure	“B2”	Noun
cast	“B2”	Verb
operational	“B2”	Adjective
conjunction	“B2”	Noun
accommodate	“B2”	Verb
conservation	“B2”	Noun
info	“B2”	Noun
discovery	“B2”	Noun
resistance	“B2”	Noun
accordance	“B2”	Noun
identification	“B2”	Noun
essentially	“B2”	Adverb
ownership	“B2”	Noun
sustain	“B2”	Verb
detect	“B2”	Verb
integration	“B2”	Noun
submission	“B2”	Noun
respect	“B2”	Verb
commence	“B2”	Verb
donation	“B2”	Noun
extract	“B2”	Verb
bid	“B2”	Noun
nearby	“B2”	Adjective
negotiation	“B2”	Noun
forthcoming	“B2”	Adjective
eliminate	“B2”	Verb
distinct	“B2”	Adjective
dialogue	“B2”	Noun
sadly	“B2”	Adverb
translation	“B2”	Noun
stunning	“B2”	Adjective
ethnic	“B2”	Adjective
assumption	“B2”	Noun
undergo	“B2”	Verb
respectively	“B2”	Adverb
devote	“B2”	Verb
correctly	“B2”	Adverb
liability	“B2”	Noun
formerly	“B2”	Adverb
dispute	“B2”	Noun
Greek	“B2”	Noun
human	“B2”	Noun
administrative	“B2”	Adjective
notion	“B2”	Noun
documentation	“B2”	Noun
distinguish	“B2”	Verb
heritage	“B2”	Noun
desire	“B2”	Verb
anticipate	“B2”	Verb
cite	“B2”	Verb
continued	“B2”	Adjective
transition	“B2”	Noun
destruction	“B2”	Noun
virtual	“B2”	Adjective
phenomenon	“B2”	Noun
personnel	“B2”	Noun
ceremony	“B2”	Noun
frequent	“B2”	Adjective
enjoyable	“B2”	Adjective
toward	“B2”	Preposition
furthermore	“B2”	Adverb
composition	“B2”	Noun
overseas	“B2”	Adjective
listing	“B2”	Noun
portfolio	“B2”	Noun
assign	“B2”	Verb
disorder	“B2”	Noun
parameter	“B2”	Noun
reproduce	“B2”	Verb
conversion	“B2”	Noun
radical	“B2”	Adjective
widespread	“B2”	Adjective
decline	“B2”	Noun
